date,time,parent_generation,tr,carc_type,carc_stage,carc_date,carc_wt,pair,male,female,male_size,female_size,larvae,success,carcass_used,tot_mass,efficiency_new_method,efficiency,ball,larvae_presence,hair_removal,clutch_size,egg_presence,notes,time_to_ball,time_to_larvae_presence,time_to_hair_removal,time_to_egg_presence,,yield,larval_density,sp,class,class_bird
5/23/23,,1,wild,紅鳩,immature,,47.15,1,55,85,5.51,,19,1,,4.929,,0.104538706,,,,,,1,,,,,,0.259421053,0.402969247,紅鳩,birds,birds
5/23/23,,1,wild,珠頸斑鳩,immature,,68.15,2,60,88,5.71,5.15,4,1,,0.7565,,0.011100514,,,,,,1,,,,,,0.189125,0.058694057,珠頸斑鳩,birds,birds
5/23/23,,1,wild,紅嘴黑鵯,immature,,18.32,3,83,55,6.1,5.71,0,0,,0,,,,,,,,1,,,,,,,,紅嘴黑鵯,birds,birds
5/23/23,,1,wild,紅鳩,immature,,45.67,4,84,62,6.19,5.21,0,0,,0,,,,,,,,1,,,,,,,,紅鳩,birds,birds
5/23/23,,1,wild,樹鵲,chick,,43.5,5,85,54,5.39,5.61,35,1,,7.3271,,0.16843908,,,,,,1,,,,,,0.209345714,0.804597701,樹鵲,birds,birds
5/23/23,,1,wild,樹鵲,chick,,41.77,6,87,58,5.97,5.66,10,1,,2.384,,0.057074455,,,,,,1,,,,,,0.2384,0.239406272,樹鵲,birds,birds
5/23/23,,1,wild,珠頸斑鳩,immature,,62.16,7,63,66,5.27,5.52,0,0,,0,,,,,,,,1,,,,,,,,珠頸斑鳩,birds,birds
5/23/23,,1,wild,珠頸斑鳩,immature,,60.3,8,74,77,4.43,,0,0,,0,,,,,,,,1,,,,,,,,珠頸斑鳩,birds,birds
5/23/23,,1,wild,珠頸斑鳩,immature,,74.86,9,61,89,5.99,5.99,3,1,,0.5337,,0.007129308,,,,,,1,,,,,,0.1779,0.040074806,珠頸斑鳩,birds,birds
5/23/23,,1,wild,珠頸斑鳩,immature,,67.42,10,80,53,,5.59,0,0,,0,,,,,,,,1,,,,,,,,珠頸斑鳩,birds,birds
5/23/23,,1,wild,紅鳩,adult,,85.25,11,64,90,4.33,5.24,0,0,,0,,,,,,,,1,,,,,,,,紅鳩,birds,birds
5/23/23,,1,wild,黑冠麻鷺,chick,,34.98,12,72,75,4.22,4.88,16,1,,4.1981,,0.120014294,,,,,,1,,,,,,0.26238125,0.457404231,黑冠麻鷺,birds,birds
5/23/23,,1,wild,白尾八哥,chick,,38.18,13,90,60,6.14,5.28,0,0,,0,,,,,,,,1,,,,,,,,白尾八哥,birds,birds
5/23/23,,1,wild,麻雀,adult,,16.04,14,54,83,5.64,6.24,0,0,,0,,,,,,,,1,,,,,,,,麻雀,birds,birds
5/23/23,,1,wild,白尾八哥,chick,,25.22,15,79,80,5.46,5.47,0,0,,0,,,,,,,,1,,,,,,,,白尾八哥,birds,birds
5/23/23,,1,lab,大白鼠,,,48.13,1,55,85,5.65,5.73,20,1,,4.9186,,0.102194058,,,,,,1,,,,,,0.24593,0.415541242,大白鼠,mammals,mice
5/23/23,,1,lab,大白鼠,,,66.66,2,60,88,5.73,4.68,0,0,,0,,,,,,,,1,,,,,,,,大白鼠,mammals,mice
