date,carcass_sp_Chinese,carcass_type,carcass_taxon,carcass_weight,parent_generation,pair_id,male_size,female_size,clutch_size,n_larvae,total_larval_mass,carcass_weight_loss,breeding_success,prop_eggs_developed,average_larval_mass,larval_density,efficiency
2023-05-23,紅鳩,wild,birds,47.15,1,1,5.51,NA,NA,19,4.929,NA,1,NA,0.25942105263157894,0.4029692470837752,NA
2023-05-23,珠頸斑鳩,wild,birds,68.15,1,2,5.71,5.15,NA,4,0.7565,NA,1,NA,0.189125,0.058694057226705794,NA
2023-05-23,紅嘴黑鵯,wild,birds,18.32,1,3,6.1,5.71,NA,0,0,NA,0,NA,NA,NA,NA
2023-05-23,紅鳩,wild,birds,45.67,1,4,6.19,5.21,NA,0,0,NA,0,NA,NA,NA,NA
2023-05-23,樹鵲,wild,birds,43.5,1,5,5.39,5.61,NA,35,7.3271,NA,1,NA,0.20934571428571427,0.8045977011494253,NA
2023-05-23,樹鵲,wild,birds,41.77,1,6,5.97,5.66,NA,10,2.384,NA,1,NA,0.2384,0.23940627244433801,NA
2023-05-23,珠頸斑鳩,wild,birds,62.16,1,7,5.27,5.52,NA,0,0,NA,0,NA,NA,NA,NA
2023-05-23,珠頸斑鳩,wild,birds,60.3,1,8,4.43,NA,NA,0,0,NA,0,NA,NA,NA,NA
2023-05-23,珠頸斑鳩,wild,birds,74.86,1,9,5.99,5.99,NA,3,0.5337,NA,1,NA,0.17789999999999997,0.04007480630510286,NA
2023-05-23,珠頸斑鳩,wild,birds,67.42,1,10,NA,5.59,NA,0,0,NA,0,NA,NA,NA,NA
2023-05-23,紅鳩,wild,birds,85.25,1,11,4.33,5.24,NA,0,0,NA,0,NA,NA,NA,NA
2023-05-23,黑冠麻鷺,wild,birds,34.98,1,12,4.22,4.88,NA,16,4.1981,NA,1,NA,0.26238125,0.4574042309891367,NA
2023-05-23,白尾八哥,wild,birds,38.18,1,13,6.14,5.28,NA,0,0,NA,0,NA,NA,NA,NA
2023-05-23,麻雀,wild,birds,16.04,1,14,5.64,6.24,NA,0,0,NA,0,NA,NA,NA,NA
2023-05-23,白尾八哥,wild,birds,25.22,1,15,5.46,5.47,NA,0,0,NA,0,NA,NA,NA,NA
2023-05-23,大白鼠,lab,mammals,48.13,1,1,5.65,5.73,NA,20,4.9186,NA,1,NA,0.24592999999999998,0.415541242468315,NA
2023-05-23,大白鼠,lab,mammals,66.66,1,2,5.73,4.68,NA,0,0,NA,0,NA,NA,NA,NA
2023-05-23,小白鼠,lab,mammals,20.08,1,3,5.07,5.73,NA,14,2.0899,NA,1,NA,0.14927857142857143,0.6972111553784861,NA
2023-05-23,大白鼠,lab,mammals,46.32,1,4,6.42,5.58,NA,0,0,NA,0,NA,NA,NA,NA
2023-05-23,大白鼠,lab,mammals,52.89,1,5,5.8,5.56,NA,0,0,NA,0,NA,NA,NA,NA
2023-05-23,小白鼠,lab,mammals,39.82,1,6,5.53,5.81,NA,5,1.2555,NA,1,NA,0.2511,0.12556504269211452,NA
2023-05-23,大白鼠,lab,mammals,64.12,1,7,5.25,5.62,NA,0,0,NA,0,NA,NA,NA,NA
2023-05-23,大白鼠,lab,mammals,60.85,1,8,4.59,5.19,NA,0,0,NA,0,NA,NA,NA,NA
2023-05-23,大白鼠,lab,mammals,70.74,1,9,5.83,5.82,NA,0,0,NA,0,NA,NA,NA,NA
2023-05-23,大白鼠,lab,mammals,68.47,1,10,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA
2023-05-23,大白鼠,lab,mammals,87.42,1,11,4.9,6.19,NA,0,0,NA,0,NA,NA,NA,NA
2023-05-23,小白鼠,lab,mammals,30.41,1,12,4.33,4.89,NA,10,2.829,NA,1,NA,0.28290000000000004,0.32883919763235775,NA
2023-05-23,小白鼠,lab,mammals,29.59,1,13,6.01,5.32,NA,0,0,NA,0,NA,NA,NA,NA
2023-05-23,小白鼠,lab,mammals,17.02,1,14,5.34,6.15,NA,27,4.6352,NA,1,NA,0.1716740740740741,1.5863689776733256,NA
2023-05-23,小白鼠,lab,mammals,26.02,1,15,5.54,5.24,NA,27,6.5825,NA,1,NA,0.2437962962962963,1.037663335895465,NA
2023-09-17,家燕,wild,birds,7.46,2,1,5.73,5.71,2,0,0,NA,0,0,NA,NA,NA
2023-09-17,臺灣長尾鼩,wild,mammals,5.55,2,2,5.46,5.97,5,0,0,NA,0,0,NA,NA,NA
2023-09-17,斯式繡眼,wild,birds,3.17,2,3,5.55,5.32,0,0,0,NA,0,NA,NA,NA,NA
2023-09-17,斯式繡眼,wild,birds,4.66,2,4,5.74,4.63,0,0,0,NA,0,NA,NA,NA,NA
2023-09-17,家燕,wild,birds,12.26,2,5,5.46,4.64,18,17,2.1719,NA,1,0.9444444444444444,0.12775882352941176,1.3866231647634584,NA
2023-09-17,麻雀,wild,birds,10.34,2,6,6.28,6.23,14,6,1.4704,NA,1,0.42857142857142855,0.24506666666666665,0.5802707930367504,NA
2023-09-17,麻雀,wild,birds,12.76,2,7,6.09,5.41,18,12,2.2599,NA,1,0.6666666666666666,0.188325,0.9404388714733543,NA
2023-09-17,家燕,wild,birds,9.66,2,8,5.54,5.39,11,12,2.0962,NA,1,1.0909090909090908,0.17468333333333333,1.2422360248447204,NA
2023-09-17,白頭翁,wild,birds,11.52,2,9,4.74,5.49,13,11,1.4691,NA,1,0.8461538461538461,0.13355454545454545,0.9548611111111112,NA
2023-09-17,雨傘節,wild,reptiles,13.73,2,10,5.55,5.66,22,16,2.855,NA,1,0.7272727272727273,0.1784375,1.1653313911143481,NA
2023-09-17,麻雀,wild,birds,21.94,2,11,6.01,5.17,33,31,6.7088,NA,1,0.9393939393939394,0.21641290322580645,1.4129443938012762,NA
2023-09-17,鼴鼠,wild,mammals,40.43,2,12,5.24,5.3,25,46,9.7147,NA,1,1.84,0.21118913043478263,1.1377689834281475,NA
2023-09-17,赤腰燕,wild,birds,26.32,2,13,4.93,4.44,28,27,7.8576,NA,1,0.9642857142857143,0.29102222222222224,1.0258358662613982,NA
2023-09-17,多線真稜蜥,wild,reptiles,19.95,2,14,5.41,5.91,19,21,5.6511,NA,1,1.105263157894737,0.2691,1.0526315789473684,NA
2023-09-17,花浪蛇,wild,reptiles,20.44,2,15,5.08,6.05,22,16,3.853,NA,1,0.7272727272727273,0.2408125,0.7827788649706457,NA
