block_id,carcass_id,carcass_type,carcass_taxon,tissue_type,tissue_replication,tissue_mass_g,family_id,success,initial_larval_mass_g,end_larval_mass_g,larval_weight_gain,mean_prop_protein,mean_prop_fat
1,1,wild,bird,muscle,1,0.40819,24,0,0.0028,NA,NA,0.262984096,0.197876556
1,1,wild,bird,muscle,2,0.4075,21,0,0.00306,NA,NA,0.262984096,0.197876556
1,1,wild,bird,muscle,3,0.39711,44,0,0.00296,NA,NA,0.262984096,0.197876556
1,1,wild,bird,viscera,1,0.3985,24,0,0.00248,NA,NA,0.243769377,0.217860589
1,1,wild,bird,viscera,2,0.42225,21,0,0.00283,NA,NA,0.243769377,0.217860589
1,1,wild,bird,viscera,3,0.389,44,0,0.00316,NA,NA,0.243769377,0.217860589
1,2,wild,bird,muscle,1,0.39695,24,1,0.00253,0.11807,0.11553999999999999,0.284432722,0.004627887
1,2,wild,bird,muscle,2,0.41812,21,1,0.00303,0.13142,0.12839,0.284432722,0.004627887
1,2,wild,bird,muscle,3,0.39303,44,1,0.00336,0.10602,0.10266,0.284432722,0.004627887
1,2,wild,bird,viscera,1,0.40906,24,0,0.00221,NA,NA,0.302400576,0.008881346
1,2,wild,bird,viscera,2,0.38538,21,0,0.00286,NA,NA,0.302400576,0.008881346
1,2,wild,bird,viscera,3,0.38632,44,1,0.00281,0.03634,0.03353,0.302400576,0.008881346
1,3,wild,bird,muscle,1,0.41352,24,0,0.00275,NA,NA,0.271550151,0.019812845
1,3,wild,bird,muscle,2,0.42382,46,0,0.00249,NA,NA,0.271550151,0.019812845
1,3,wild,bird,muscle,3,0.39623,44,0,0.00299,NA,NA,0.271550151,0.019812845
1,3,wild,bird,viscera,1,0.38729,24,0,0.0026,NA,NA,0.264421894,0.008330023
1,3,wild,bird,viscera,2,0.42753,46,0,0.00239,NA,NA,0.264421894,0.008330023
1,3,wild,bird,viscera,3,0.40081,44,0,0.0027,NA,NA,0.264421894,0.008330023
1,4,wild,reptile,muscle,1,0.3843,24,0,0.00295,NA,NA,0.283697668,3.42583e-4
1,4,wild,reptile,muscle,2,0.41564,46,0,0.00285,NA,NA,0.283697668,3.42583e-4
